[2025-09-05 22:54:21,886] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 22:54:21,886] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 22:54:21,886] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 22:54:21,905] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.


[2025-09-05 22:54:23,458] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 22:54:23,458] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 22:54:23,459] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 22:54:23,466] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 22:54:23,496] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 22:54:23,496] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 22:54:23,496] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 22:54:23,496] [INFO] [comm.py:852:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-09-05 22:54:23,504] [INFO] [comm.py:821:init_distributed] cdb=None
ninja: no work to do.
Time to load fused_adam op: 0.8149199485778809 seconds
Time to load fused_adam op: 0.9095566272735596 seconds
Time to load fused_adam op: 0.9098703861236572 seconds
Time to load fused_adam op: 0.9117112159729004 seconds
[2025-09-05 22:56:49,602] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 22:56:49,657] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 22:56:49,666] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 22:56:50,146] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
{'loss': 0.502, 'grad_norm': 29.264230728149414, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.2056, 'grad_norm': 23.8447208404541, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1586, 'grad_norm': 10.35794734954834, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.0438, 'grad_norm': 7.486669063568115, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4221, 'grad_norm': 16.73406410217285, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5075, 'grad_norm': 45.64761734008789, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3004, 'grad_norm': 14.602530479431152, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3655, 'grad_norm': 31.09453773498535, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1844, 'grad_norm': 17.9581298828125, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3936, 'grad_norm': 16.266502380371094, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3927, 'grad_norm': 25.230051040649414, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1866, 'grad_norm': 18.033920288085938, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1467, 'grad_norm': 8.445571899414062, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5132, 'grad_norm': 22.339012145996094, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2169, 'grad_norm': 14.31350326538086, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1826, 'grad_norm': 10.762571334838867, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2776, 'grad_norm': 22.993961334228516, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5474, 'grad_norm': 27.25309944152832, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2233, 'grad_norm': 20.31208038330078, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3284, 'grad_norm': 23.829465866088867, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1858, 'grad_norm': 20.362661361694336, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.6875, 'grad_norm': 32.92142105102539, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4459, 'grad_norm': 29.7164363861084, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4547, 'grad_norm': 32.74624252319336, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3312, 'grad_norm': 15.852903366088867, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.0934, 'grad_norm': 5.898507595062256, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2394, 'grad_norm': 25.23969268798828, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3763, 'grad_norm': 19.42666244506836, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2675, 'grad_norm': 26.566865921020508, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.8492, 'grad_norm': 24.315019607543945, 'learning_rate': 1e-06, 'epoch': 0.0}
