[2025-09-05 16:27:29,787] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 16:27:29,787] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 16:27:29,831] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-09-05 16:27:29,838] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.

Warning: The cache directory for DeepSpeed Triton autotune, /home/wyu3/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
[2025-09-05 16:27:31,456] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 16:27:31,456] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 16:27:31,456] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 16:27:31,456] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
[2025-09-05 16:27:31,498] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 16:27:31,498] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 16:27:31,498] [INFO] [comm.py:821:init_distributed] cdb=None
[2025-09-05 16:27:31,499] [INFO] [comm.py:852:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-09-05 16:27:31,501] [INFO] [comm.py:821:init_distributed] cdb=None
ninja: no work to do.
Time to load fused_adam op: 0.8969857692718506 seconds
Time to load fused_adam op: 0.9100375175476074 seconds
Time to load fused_adam op: 0.9107050895690918 seconds
Time to load fused_adam op: 0.9108173847198486 seconds
[2025-09-05 16:30:16,407] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 16:30:16,627] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 16:30:16,628] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-09-05 16:30:17,116] [WARNING] [lr_schedules.py:686:get_lr] Attempting to get learning rate from scheduler before it has started
{'loss': 0.502, 'grad_norm': 29.264230728149414, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.2056, 'grad_norm': 23.84471893310547, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1586, 'grad_norm': 10.357954978942871, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.0438, 'grad_norm': 7.489206790924072, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4232, 'grad_norm': 16.6737003326416, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5062, 'grad_norm': 45.626625061035156, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.301, 'grad_norm': 14.709253311157227, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3658, 'grad_norm': 31.180675506591797, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1843, 'grad_norm': 17.8668270111084, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3942, 'grad_norm': 16.575441360473633, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3956, 'grad_norm': 22.88042640686035, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1871, 'grad_norm': 17.983924865722656, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1458, 'grad_norm': 8.495342254638672, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5106, 'grad_norm': 22.188232421875, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.218, 'grad_norm': 14.51377010345459, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1803, 'grad_norm': 10.690120697021484, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2787, 'grad_norm': 24.024768829345703, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5481, 'grad_norm': 26.71080207824707, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2224, 'grad_norm': 20.206470489501953, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3271, 'grad_norm': 24.14736557006836, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1828, 'grad_norm': 20.051671981811523, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.6846, 'grad_norm': 32.588172912597656, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4533, 'grad_norm': 30.444509506225586, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4618, 'grad_norm': 33.30806350708008, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3284, 'grad_norm': 15.87303352355957, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.0932, 'grad_norm': 5.945546627044678, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2417, 'grad_norm': 25.24697494506836, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.374, 'grad_norm': 19.412748336791992, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2658, 'grad_norm': 28.588592529296875, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.8489, 'grad_norm': 24.24812126159668, 'learning_rate': 1e-06, 'epoch': 0.0}
